state,action,q_value,last_action
"pub_('A', 'A', 'J')_priv_('6',)_3.0_2_4",take_discard_3,1.01,"g_1_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('8', '9', '9')_priv_('K',)_12.5_8_4",take_discard_3,1.01,"g_2_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '3', '8')_priv_('10',)_0.0_10_4",take_discard_2,1.01,"g_3_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('4', 'A', 'J')_priv_('K',)_9.5_4_4",take_discard_3,1.01,"g_4_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '9', 'J')_priv_('6',)_12.0_9_4",take_discard_3,1.01,"g_5_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'A', 'J')_priv_('6',)_-5.5_Q_4",draw_deck_3,1.01,"g_7_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', '7', 'Q')_priv_('8',)_-2.0_6_4",draw_deck_3,1.01,"g_8_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '3', '3')_priv_('8',)_-1.0_6_4",draw_deck_3,1.01,"g_10_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'Q')_priv_('3',)_-8.5_5_4",draw_deck_3,1.01,"g_11_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', 'J', 'J')_priv_('Q',)_-3.5_9_4",draw_deck_3,1.01,"g_12_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('6',)_-6.5_Q_4",draw_deck_3,1.01,"g_13_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '3', '5')_priv_('6',)_12.5_10_4",take_discard_3,1.01,"g_14_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '9', 'J')_priv_('Q',)_4.5_J_4",take_discard_3,1.01,"g_18_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '2', '2')_priv_('9',)_4.5_A_4",take_discard_3,1.01,"g_19_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '3', 'J')_priv_('2',)_-4.0_6_4",draw_deck_3,1.01,"g_20_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', 'J')_priv_('2',)_-2.0_4_4",draw_deck_3,1.01,"g_21_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', '6')_priv_('A',)_-2.5_3_4",draw_deck_3,1.01,"g_23_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('7',)_-1.0_5_4",draw_deck_3,1.01,"g_24_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '8', 'J')_priv_('7',)_-5.5_9_4",draw_deck_3,1.01,"g_25_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '3', '9')_priv_('2',)_1.0_J_4",take_discard_3,1.01,"g_28_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '7', 'A')_priv_('5',)_9.0_7_4",take_discard_3,1.01,"g_29_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '3', 'J')_priv_('10',)_4.0_2_4",take_discard_2,1.01,"g_30_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '5', 'J')_priv_('A',)_-3.5_4_4",draw_deck_3,1.01,"g_31_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '9', '9')_priv_('2',)_-6.5_8_4",draw_deck_3,1.01,"g_32_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', 'A', 'K')_priv_('10',)_2.0_2_4",take_discard_3,1.01,"g_35_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'A', 'A')_priv_('5',)_-6.0_10_4",draw_deck_3,1.01,"g_36_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '8', 'A')_priv_('5',)_-5.0_7_4",draw_deck_2,1.01,"g_38_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '7', 'K')_priv_('K',)_-14.0_4_4",draw_deck_flip_3,1.01,"g_40_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('5', '5', 'A')_priv_('Q',)_2.5_3_4",take_discard_3,1.01,"g_41_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '5', 'Q')_priv_('6',)_-4.0_7_4",draw_deck_3,1.01,"g_43_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '6', 'J')_priv_('8',)_3.5_2_4",take_discard_2,1.01,"g_44_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('A', 'J', 'K')_priv_('4',)_0.0_2_4",take_discard_3,1.01,"g_47_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'J', 'J')_priv_('A',)_-11.0_K_4",draw_deck_flip_3,1.01,"g_48_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('A', 'A', 'J')_priv_('7',)_4.0_A_4",take_discard_2,1.01,"g_49_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', 'K', 'K')_priv_('3',)_-3.0_5_4",draw_deck_2,1.01,"g_50_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '6', 'J')_priv_('A',)_-4.0_4_4",draw_deck_3,1.01,"g_51_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', 'A', 'J')_priv_('4',)_2.5_J_4",take_discard_3,1.01,"g_52_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', 'A', 'J')_priv_('4',)_-7.5_K_4",draw_deck_3,1.01,"g_53_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '2', 'J')_priv_('A',)_-7.0_8_4",draw_deck_3,1.01,"g_54_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '10', '4')_priv_('A',)_-9.5_Q_4",draw_deck_2,1.01,"g_55_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', 'J', 'J')_priv_('6',)_-6.0_Q_4",draw_deck_3,1.01,"g_56_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', 'J', 'J')_priv_('Q',)_-0.5_6_4",draw_deck_3,1.01,"g_57_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', '6')_priv_('Q',)_-4.0_8_4",draw_deck_3,1.01,"g_58_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('8', '9', 'A')_priv_('7',)_1.0_2_4",take_discard_3,1.01,"g_59_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', 'J', 'Q')_priv_('10',)_14.0_Q_4",take_discard_3,1.01,"g_60_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'Q', 'Q')_priv_('10',)_1.0_4_4",take_discard_3,1.01,"g_61_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '10', '4')_priv_('Q',)_2.0_3_4",take_discard_2,1.01,"g_62_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '6', 'J')_priv_('2',)_-3.5_A_4",draw_deck_3,1.01,"g_63_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '9', 'J')_priv_('7',)_0.0_3_4",take_discard_3,1.01,"g_64_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('J', 'K', 'K')_priv_('2',)_1.0_A_4",take_discard_3,1.01,"g_65_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '5', 'J')_priv_('8',)_2.5_3_4",take_discard_3,1.01,"g_67_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', '9', 'J')_priv_('7',)_-2.5_7_4",draw_deck_3,1.01,"g_68_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', 'J', 'Q')_priv_('Q',)_-18.0_8_4",draw_deck_flip_2,1.01,"g_69_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('2', 'A', 'J')_priv_('5',)_-4.5_8_4",draw_deck_2,1.01,"g_70_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', 'J', 'J')_priv_('7',)_5.0_J_4",take_discard_3,1.01,"g_71_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', 'K', 'K')_priv_('8',)_-1.5_6_4",draw_deck_2,1.01,"g_72_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '3', 'J')_priv_('10',)_-3.0_9_4",draw_deck_2,1.01,"g_73_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', 'A', 'A')_priv_('5',)_-6.5_Q_4",draw_deck_3,1.01,"g_74_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', 'A', 'A')_priv_('6',)_-2.0_6_4",draw_deck_3,1.01,"g_75_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', 'J', 'J')_priv_('10',)_3.0_3_4",take_discard_3,1.01,"g_77_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', '9', 'A')_priv_('K',)_-2.5_8_4",draw_deck_3,1.01,"g_78_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '3', '4')_priv_('3',)_-8.0_10_4",draw_deck_3,1.01,"g_79_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('J', 'K', 'K')_priv_()_-6.0_K_4",draw_deck_1,1.01,"g_80_r_4: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('4', '4', 'J')_priv_('8',)_4.5_A_4",take_discard_2,1.01,"g_81_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '7', 'J')_priv_('10',)_7.5_2_4",take_discard_3,1.01,"g_82_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '2', 'J')_priv_('K',)_-1.0_7_4",draw_deck_3,1.01,"g_83_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('A', 'J', 'K')_priv_('7',)_0.5_3_4",take_discard_3,1.01,"g_85_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '3', '3')_priv_('8',)_7.0_2_4",take_discard_3,1.01,"g_86_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '2', 'J')_priv_('6',)_-4.5_8_4",draw_deck_3,1.01,"g_87_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '5', '7')_priv_('A',)_-10.0_10_4",draw_deck_3,1.01,"g_88_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '3', '5')_priv_('4',)_6.0_5_4",take_discard_3,1.01,"g_89_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', 'Q', 'Q')_priv_('2',)_-4.0_5_4",draw_deck_3,1.01,"g_90_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '2', 'K')_priv_('4',)_-4.0_6_4",draw_deck_3,1.01,"g_92_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', '7', 'J')_priv_('5',)_1.0_3_4",take_discard_3,1.01,"g_93_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', '9', 'J')_priv_('K',)_-4.5_10_4",draw_deck_3,1.01,"g_94_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('9', 'J', 'J')_priv_('7',)_0.0_4_4",draw_deck_3,1.01,"g_95_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', '7', 'Q')_priv_('10',)_4.0_J_4",take_discard_3,1.01,"g_96_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'K', 'K')_priv_('8',)_3.0_A_4",take_discard_3,1.01,"g_97_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', 'K', 'K')_priv_('9',)_-6.5_Q_4",draw_deck_3,1.01,"g_98_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_()_priv_('8', 'K')_-6.5_9_1",draw_deck_0,0.019000000000000003,"g_97_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_()_priv_('2', '9')_-8.0_K_1",draw_deck_0,0.019000000000000003,"g_19_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_()_priv_('7', 'A')_-1.0_2_1",draw_deck_0,0.019000000000000003,"g_49_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('J',)_priv_('6',)_1.0_A_2",take_discard_0,0.010000000000000002,"g_1_r_2: {'type': 'take_discard', 'position': 0}"
"pub_()_priv_('6', 'J')_-2.0_2_1",draw_deck_flip_2,0.010000000000000002,"g_1_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('A', 'J')_priv_('6',)_-4.5_6_3",draw_deck_1,0.010000000000000002,"g_1_r_3: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('9',)_priv_('5', 'K')_12.0_9_2",take_discard_1,0.010000000000000002,"g_2_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('5', 'K')_-6.0_10_1",draw_deck_0,0.010000000000000002,"g_2_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('9', '9')_priv_('5', 'K')_-2.5_6_3",draw_deck_2,0.010000000000000002,"g_2_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('8',)_priv_('10', '5')_-2.0_5_2",draw_deck_1,0.010000000000000002,"g_3_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('10', '5')_-3.0_7_1",draw_deck_0,0.010000000000000002,"g_3_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('10', '8')_priv_('10', '5')_-20.0_Q_3",draw_deck_3,0.010000000000000002,"g_3_r_3: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('J',)_priv_('6', 'K')_2.5_A_2",take_discard_1,0.010000000000000002,"g_4_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('6', 'K')_-7.0_7_1",draw_deck_flip_0,0.010000000000000002,"g_4_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 0}"
"pub_('A', 'J')_priv_('6', 'K')_0.5_4_3",take_discard_2,0.010000000000000002,"g_4_r_3: {'type': 'take_discard', 'position': 2}"
"pub_('5',)_priv_('6', '9')_-7.5_10_2",draw_deck_1,0.010000000000000002,"g_5_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '9')_-8.0_Q_1",draw_deck_0,0.010000000000000002,"g_5_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('5', 'J')_priv_('6', '9')_-0.5_4_3",draw_deck_2,0.010000000000000002,"g_5_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('4',)_priv_('3', 'A')_-2.5_3_2",draw_deck_1,0.010000000000000002,"g_6_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('3', 'A')_0.0_A_1",draw_deck_0,0.010000000000000002,"g_6_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'K')_priv_('3', 'A')_-8.0_8_3",draw_deck_2,0.010000000000000002,"g_6_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A',)_priv_('6', 'A')_-8.0_7_2",draw_deck_flip_2,0.010000000000000002,"g_7_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_()_priv_('6', 'A')_-2.0_3_1",draw_deck_0,0.010000000000000002,"g_7_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('A', 'A')_priv_('6',)_2.0_J_3",take_discard_1,0.010000000000000002,"g_7_r_3: {'type': 'take_discard', 'position': 1}"
"pub_('7',)_priv_('6', '8')_-7.5_10_2",draw_deck_1,0.010000000000000002,"g_8_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '8')_-6.0_9_1",draw_deck_0,0.010000000000000002,"g_8_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('7', '7')_priv_('6', '8')_-6.0_K_3",draw_deck_2,0.010000000000000002,"g_8_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('6', 'A')_-9.0_Q_2",draw_deck_1,0.010000000000000002,"g_9_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', 'A')_-9.0_K_1",draw_deck_0,0.010000000000000002,"g_9_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('J', 'K')_priv_('6', 'A')_-4.5_5_3",draw_deck_2,0.010000000000000002,"g_9_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3',)_priv_('8', 'K')_8.0_3_2",take_discard_1,0.010000000000000002,"g_10_r_2: {'type': 'take_discard', 'position': 1}"
"pub_('3', '3')_priv_('8', 'K')_-5.0_Q_3",draw_deck_2,0.010000000000000002,"g_10_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('Q',)_priv_('3', '5')_-8.5_K_2",draw_deck_1,0.010000000000000002,"g_11_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('3', '5')_-7.5_10_1",draw_deck_0,0.010000000000000002,"g_11_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'Q')_priv_('3', '5')_-6.0_7_3",draw_deck_2,0.010000000000000002,"g_11_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('K', 'Q')_-8.0_8_2",draw_deck_flip_1,0.010000000000000002,"g_12_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 1}"
"pub_()_priv_('K', 'Q')_-3.0_3_1",draw_deck_flip_0,0.010000000000000002,"g_12_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 0}"
"pub_('J', 'J')_priv_('K', 'Q')_-1.0_7_3",draw_deck_2,0.010000000000000002,"g_12_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('4',)_priv_('6', 'Q')_4.0_J_2",take_discard_1,0.010000000000000002,"g_13_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('6', 'Q')_0.5_4_1",take_discard_0,0.010000000000000002,"g_13_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('4', 'J')_priv_('6', 'Q')_-4.5_8_3",draw_deck_2,0.010000000000000002,"g_13_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3',)_priv_('4', '6')_-5.0_8_2",draw_deck_1,0.010000000000000002,"g_14_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('4', '6')_0.0_3_1",take_discard_0,0.010000000000000002,"g_14_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('10', '3')_priv_('4', '6')_-8.0_K_3",draw_deck_2,0.010000000000000002,"g_14_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('Q',)_priv_('6', '8')_-5.0_8_2",draw_deck_1,0.010000000000000002,"g_15_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '8')_-3.5_8_1",draw_deck_0,0.010000000000000002,"g_15_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('5', 'Q')_priv_('6', '8')_-4.0_6_3",draw_deck_2,0.010000000000000002,"g_15_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('7', '8')_5.0_J_2",take_discard_0,0.010000000000000002,"g_16_r_2: {'type': 'take_discard', 'position': 0}"
"pub_()_priv_('7', '8')_-10.0_Q_1",draw_deck_flip_1,0.010000000000000002,"g_16_r_1: {'type': 'draw_deck', 'keep': False, 'flip_position': 1}"
"pub_('J', 'J')_priv_('7', '8')_-3.0_8_3",draw_deck_2,0.010000000000000002,"g_16_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('7',)_priv_('2', '9')_-8.0_9_2",draw_deck_1,0.010000000000000002,"g_17_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('7', 'Q')_priv_('2', '9')_-4.5_5_3",draw_deck_2,0.010000000000000002,"g_17_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('4',)_priv_('5', 'Q')_-6.0_9_2",draw_deck_1,0.010000000000000002,"g_18_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('5', 'Q')_-6.0_K_1",draw_deck_0,0.010000000000000002,"g_18_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'J')_priv_('5', 'Q')_-7.0_Q_3",draw_deck_2,0.010000000000000002,"g_18_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2',)_priv_('2', '9')_-6.0_4_2",draw_deck_flip_2,0.010000000000000002,"g_19_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('2', '2')_priv_('9',)_3.5_2_3",take_discard_1,0.010000000000000002,"g_19_r_3: {'type': 'take_discard', 'position': 1}"
"pub_('J',)_priv_('2',)_-6.0_7_2",draw_deck_0,0.010000000000000002,"g_20_r_2: {'type': 'draw_deck', 'position': 0, 'keep': True}"
